start_timestamp,tournament_name,category_name,ground_type,round_name,status,winner,home_team,away_team,home_set1,home_set2,home_set3,home_set4,home_set5,away_set1,away_set2,away_set3,away_set4,away_set5
1735684200,"Auckland, New Zealand",WTA,Hardcourt outdoor,Round of 16,Ended,2.0,Rebecca Marino,Bernarda Pera,6.0,4.0,,,,7.0,6.0,,,
1735687800,"Canberra, Australia",Challenger,Hardcourt outdoor,Round of 16,Ended,1.0,Jacob Fearnley,James Trotter,6.0,6.0,,,,2.0,4.0,,,
1735687800,"Canberra, Australia",Challenger,Hardcourt outdoor,Round of 16,Ended,1.0,Harold Mayot,Daniel Elahi Galan,7.0,6.0,,,,6.0,4.0,,,
1735690800,"Auckland, New Zealand",WTA,Hardcourt outdoor,Round of 16,Ended,1.0,Naomi Osaka,Julia Grabher,7.0,6.0,,,,5.0,3.0,,,
1735693200,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Round of 16,Ended,2.0,Andre Ilagan,Shintaro Mochizuki,7.0,4.0,2.0,,,6.0,6.0,6.0,,
1735693200,"Brisbane, Australia",ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Yoshihito Nishioka,Jiri Lehecka,2.0,7.0,4.0,,,6.0,6.0,6.0,,
1735693200,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 32,Ended,1.0,Kimberly Birrell,Emma Navarro,7.0,7.0,,,,5.0,5.0,,,
1735693200,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 32,Ended,2.0,Liudmila Samsonova,Polina Kudermetova,7.0,3.0,2.0,,,6.0,6.0,6.0,,
1735693200,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Round of 16,Ended,1.0,Taisei Ichikawa,Gijs Brouwer,6.0,6.0,,,,1.0,4.0,,,
1735693200,"Canberra, Australia",Challenger,Hardcourt outdoor,Round of 16,Ended,2.0,Damir Džumhur,Vit Kopriva,5.0,5.0,,,,7.0,7.0,,,
1735695300,"Canberra, Australia",Challenger,Hardcourt outdoor,Round of 16,Ended,1.0,Christopher Eubanks,Alexis Galarneau,6.0,6.0,,,,4.0,4.0,,,
1735696200,"Canberra, Australia",Challenger,Hardcourt outdoor,Round of 16,Ended,1.0,Ethan Quinn,Patrick Kypson,3.0,7.0,6.0,,,6.0,6.0,4.0,,
1735696800,"Brisbane, Australia",ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Benjamin Bonzi,Nicolas Jarry,2.0,3.0,,,,6.0,6.0,,,
1735698000,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Round of 16,Ended,2.0,Ryotaro Taguchi,Valentin Vacherot,1.0,2.0,,,,6.0,6.0,,,
1735699500,"Auckland, New Zealand",WTA,Hardcourt outdoor,Round of 16,Ended,2.0,Sofia Kenin,Clara Tauson,6.0,6.0,6.0,,,4.0,7.0,7.0,,
1735700400,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Round of 16,Ended,2.0,Clement Chidekh,Rei Sakamoto,3.0,0.0,,,,6.0,6.0,,,
1735700400,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Round of 16,Ended,2.0,Clement Tabur,Kimmer Coppejans,3.0,3.0,,,,6.0,6.0,,,
1735700400,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Round of 16,Ended,2.0,Corentin Denolly,Lukas Neumayer,2.0,4.0,,,,6.0,6.0,,,
1735701000,"Canberra, Australia",Challenger,Hardcourt outdoor,Round of 16,Ended,1.0,Yosuke Watanuki,Roman Andres Burruchaga,6.0,3.0,7.0,,,3.0,6.0,6.0,,
1735701600,"Brisbane, Australia",ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Aleksandar Vukic,Grigor Dimitrov,2.0,6.0,,,,6.0,7.0,,,
1735702200,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Round of 16,Ended,1.0,Moerani Bouzige,Charlie Camus,7.0,6.0,,,,5.0,3.0,,,
1735702500,"Canberra, Australia",Challenger,Hardcourt outdoor,Round of 16,Ended,1.0,Joao Fonseca,Duje Ajduković,6.0,7.0,,,,1.0,5.0,,,
1735702800,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Round of 16,Ended,2.0,Yusuke Takahashi,Enzo Couacaud,3.0,4.0,,,,6.0,6.0,,,
1735702800,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 32,Ended,2.0,Dayana Yastremska,Anastasia Potapova,5.0,4.0,,,,7.0,6.0,,,
1735702800,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 32,Ended,2.0,Peyton Stearns,Daria Kasatkina,6.0,6.0,5.0,,,7.0,4.0,7.0,,
1735705200,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Round of 16,Ended,1.0,Gianluca Mager,Titouan Droguet,6.0,3.0,6.0,,,4.0,6.0,3.0,,
1735706100,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Round of 16,Ended,1.0,Khumoyun Sultanov,Hiroki Moriya,6.0,6.0,,,,4.0,2.0,,,
1735707600,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Round of 16,Ended,2.0,Marco Trungelliti,Enrico Dalla Valle,6.0,3.0,,,,7.0,6.0,,,
1735707600,Hong Kong,ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Miomir Kecmanovic,Alexandre Muller,7.0,6.0,6.0,,,5.0,7.0,7.0,,
1735707600,Hong Kong,ATP,Hardcourt outdoor,Round of 16,Ended,1.0,Cameron Norrie,Lorenzo Sonego,6.0,4.0,6.0,,,2.0,6.0,1.0,,
1735707600,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Round of 16,Ended,1.0,Constant Lestienne,August Holmgren,5.0,6.0,7.0,,,7.0,2.0,6.0,,
1735707900,"Canberra, Australia",Challenger,Hardcourt outdoor,Round of 16,Ended,2.0,Dane Sweeny,Martin Landaluce,1.0,2.0,,,,6.0,6.0,,,
1735709400,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 32,Ended,1.0,Suzan Lamens,Magdalena Frech,7.0,6.0,,,,5.0,3.0,,,
1735710900,"Auckland, New Zealand",WTA,Hardcourt outdoor,Round of 16,Ended,1.0,Katie Volynets,Ann Li,6.0,6.0,,,,4.0,3.0,,,
1735713900,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Round of 16,Ended,2.0,Dalibor Svrcina,Gregoire Barrere,5.0,6.0,,,,7.0,7.0,,,
1735714500,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Round of 16,Ended,1.0,Aslan Karatsev,Benjamin Hassan,6.0,6.0,,,,3.0,2.0,,,
1735715700,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 32,Ended,1.0,Yue Yuan,Marta Kostyuk,6.0,6.0,,,,4.0,3.0,,,
1735717800,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Round of 16,Ended,2.0,Benoit Paire,Jurij Rodionov,4.0,7.0,2.0,,,6.0,5.0,6.0,,
1735720200,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 32,Ended,1.0,Victoria Azarenka,Maya Joint,6.0,6.0,6.0,,,7.0,2.0,4.0,,
1735722600,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 32,Ended,1.0,Linda Noskova,Anca Todoni,6.0,6.0,,,,1.0,4.0,,,
1735724400,Hong Kong,ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Zizou Bergs,Arthur Fils,6.0,4.0,,,,7.0,6.0,,,
1735725300,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Round of 16,Ended,2.0,Maxime Janvier,Marton Fucsovics,4.0,6.0,3.0,,,6.0,3.0,6.0,,
1735730400,"Brisbane, Australia",ATP,Hardcourt outdoor,Round of 16,Ended,1.0,Jordan Thompson,Alex Michelsen,7.0,6.0,,,,5.0,3.0,,,
1735730400,"Brisbane, Australia",ATP,Hardcourt outdoor,Round of 16,Ended,1.0,Jordan Thompson,Alex Michelsen,7.0,6.0,,,,5.0,3.0,,,
1735731600,Hong Kong,ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Karen Khachanov,Kei Nishikori,6.0,3.0,5.0,,,4.0,6.0,7.0,,
1735731600,Hong Kong,ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Karen Khachanov,Kei Nishikori,6.0,3.0,5.0,,,4.0,6.0,7.0,,
1735777500,"Auckland, New Zealand",WTA,Hardcourt outdoor,Round of 16,Ended,1.0,Madison Keys,Jaqueline Cristian,6.0,6.0,,,,1.0,2.0,,,
1735777500,"Auckland, New Zealand",WTA,Hardcourt outdoor,Round of 16,Ended,1.0,Madison Keys,Jaqueline Cristian,6.0,6.0,,,,1.0,2.0,,,
1735779600,"Canberra, Australia",Challenger,Hardcourt outdoor,Quarterfinals,Ended,1.0,Jacob Fearnley,Christopher Eubanks,4.0,6.0,7.0,,,6.0,2.0,6.0,,
1735779600,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,2.0,Anastasia Potapova,Kimberly Birrell,6.0,2.0,,,,7.0,6.0,,,
1735779600,"Brisbane, Australia",ATP,Hardcourt outdoor,Round of 16,Ended,1.0,Jakub Mensik,Dusan Lajovic,6.0,6.0,,,,3.0,2.0,,,
1735779600,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,2.0,Anastasia Potapova,Kimberly Birrell,6.0,2.0,,,,7.0,6.0,,,
1735779600,"Canberra, Australia",Challenger,Hardcourt outdoor,Quarterfinals,Ended,1.0,Jacob Fearnley,Christopher Eubanks,4.0,6.0,7.0,,,6.0,2.0,6.0,,
1735779600,"Brisbane, Australia",ATP,Hardcourt outdoor,Round of 16,Ended,1.0,Jakub Mensik,Dusan Lajovic,6.0,6.0,,,,3.0,2.0,,,
1735784700,"Brisbane, Australia",ATP,Hardcourt outdoor,Round of 16,Ended,1.0,Reilly Opelka,Matteo Arnaldi,7.0,7.0,,,,6.0,6.0,,,
1735784700,"Brisbane, Australia",ATP,Hardcourt outdoor,Round of 16,Ended,1.0,Reilly Opelka,Matteo Arnaldi,7.0,7.0,,,,6.0,6.0,,,
1735785000,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,1.0,Ashlyn Krueger,Suzan Lamens,7.0,6.0,,,,5.0,0.0,,,
1735785000,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,1.0,Ashlyn Krueger,Suzan Lamens,7.0,6.0,,,,5.0,0.0,,,
1735785600,"Auckland, New Zealand",WTA,Hardcourt outdoor,Round of 16,Ended,2.0,Nao Hibino,Robin Montgomery,2.0,2.0,,,,6.0,6.0,,,
1735785600,"Auckland, New Zealand",WTA,Hardcourt outdoor,Round of 16,Ended,2.0,Nao Hibino,Robin Montgomery,2.0,2.0,,,,6.0,6.0,,,
1735787100,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,1.0,Polina Kudermetova,Daria Kasatkina,1.0,6.0,7.0,,,6.0,2.0,5.0,,
1735787100,"Canberra, Australia",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Harold Mayot,Joao Fonseca,2.0,3.0,,,,6.0,6.0,,,
1735787100,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,1.0,Polina Kudermetova,Daria Kasatkina,1.0,6.0,7.0,,,6.0,2.0,5.0,,
1735787100,"Canberra, Australia",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Harold Mayot,Joao Fonseca,2.0,3.0,,,,6.0,6.0,,,
1735788600,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Lukas Neumayer,Kimmer Coppejans,3.0,2.0,,,,6.0,6.0,,,
1735788600,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Lukas Neumayer,Kimmer Coppejans,3.0,2.0,,,,6.0,6.0,,,
1735788600,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Quarterfinals,Retired,3.0,Rei Sakamoto,Gianluca Mager,4.0,,,,,1.0,,,,
1735788600,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Quarterfinals,Retired,3.0,Rei Sakamoto,Gianluca Mager,4.0,,,,,1.0,,,,
1735790100,"Canberra, Australia",Challenger,Hardcourt outdoor,Quarterfinals,Walkover,2.0,Yosuke Watanuki,Martin Landaluce,0.0,,,,,0.0,,,,
1735790100,"Canberra, Australia",Challenger,Hardcourt outdoor,Quarterfinals,Walkover,2.0,Yosuke Watanuki,Martin Landaluce,0.0,,,,,0.0,,,,
1735790100,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,1.0,Anhelina Kalinina,Yue Yuan,6.0,6.0,,,,1.0,4.0,,,
1735790100,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,1.0,Anhelina Kalinina,Yue Yuan,6.0,6.0,,,,1.0,4.0,,,
1735791000,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Khumoyun Sultanov,Gregoire Barrere,6.0,1.0,,,,7.0,6.0,,,
1735791000,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Khumoyun Sultanov,Gregoire Barrere,6.0,1.0,,,,7.0,6.0,,,
1735792200,"Canberra, Australia",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Vit Kopriva,Ethan Quinn,4.0,5.0,,,,6.0,7.0,,,
1735792200,"Canberra, Australia",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Vit Kopriva,Ethan Quinn,4.0,5.0,,,,6.0,7.0,,,
1735794000,Hong Kong,ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Gabriel Diallo,Lorenzo Musetti,4.0,3.0,,,,6.0,6.0,,,
1735794000,Hong Kong,ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Nuno Borges,Jaume Munar,3.0,5.0,,,,6.0,7.0,,,
1735794000,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,2.0,Linda Noskova,Mirra Andreeva,3.0,0.0,,,,6.0,6.0,,,
1735794000,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,2.0,Linda Noskova,Mirra Andreeva,3.0,0.0,,,,6.0,6.0,,,
1735794000,Hong Kong,ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Gabriel Diallo,Lorenzo Musetti,4.0,3.0,,,,6.0,6.0,,,
1735794000,Hong Kong,ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Nuno Borges,Jaume Munar,3.0,5.0,,,,6.0,7.0,,,
1735794300,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Enrico Dalla Valle,Aslan Karatsev,1.0,1.0,,,,6.0,6.0,,,
1735794300,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Enrico Dalla Valle,Aslan Karatsev,1.0,1.0,,,,6.0,6.0,,,
1735794600,"Brisbane, Australia",ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Frances Tiafoe,Giovanni Mpetshi Perricard,4.0,6.0,,,,6.0,7.0,,,
1735794600,"Brisbane, Australia",ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Frances Tiafoe,Giovanni Mpetshi Perricard,4.0,6.0,,,,6.0,7.0,,,
1735795800,"Auckland, New Zealand",WTA,Hardcourt outdoor,Round of 16,Ended,2.0,Greet Minnen,Alycia Parks,5.0,3.0,,,,7.0,6.0,,,
1735795800,"Auckland, New Zealand",WTA,Hardcourt outdoor,Round of 16,Ended,2.0,Greet Minnen,Alycia Parks,5.0,3.0,,,,7.0,6.0,,,
1735797300,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,2.0,Elina Avanesyan,Ons Jabeur,4.0,6.0,4.0,,,6.0,1.0,6.0,,
1735797300,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,2.0,Elina Avanesyan,Ons Jabeur,4.0,6.0,4.0,,,6.0,1.0,6.0,,
1735799400,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,2.0,Victoria Azarenka,Marie Bouzkova,4.0,4.0,,,,6.0,6.0,,,
1735799400,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,2.0,Victoria Azarenka,Marie Bouzkova,4.0,4.0,,,,6.0,6.0,,,
1735800300,Hong Kong,ATP,Hardcourt outdoor,Round of 16,Ended,1.0,Juncheng Shang,Pedro Martinez,6.0,6.0,,,,3.0,1.0,,,
1735800300,Hong Kong,ATP,Hardcourt outdoor,Round of 16,Ended,1.0,Juncheng Shang,Pedro Martinez,6.0,6.0,,,,3.0,1.0,,,
1735801200,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Quarterfinals,Ended,1.0,Moerani Bouzige,Marton Fucsovics,6.0,6.0,,,,3.0,3.0,,,
1735801200,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Quarterfinals,Ended,1.0,Moerani Bouzige,Marton Fucsovics,6.0,6.0,,,,3.0,3.0,,,
1735801800,"Auckland, New Zealand",WTA,Hardcourt outdoor,Round of 16,Ended,1.0,Hailey Baptiste,Jodie Burrage,5.0,7.0,7.0,,,7.0,5.0,6.0,,
1735801800,"Auckland, New Zealand",WTA,Hardcourt outdoor,Round of 16,Ended,1.0,Hailey Baptiste,Jodie Burrage,5.0,7.0,7.0,,,7.0,5.0,6.0,,
1735802100,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Quarterfinals,Ended,1.0,Constant Lestienne,Valentin Vacherot,6.0,4.0,7.0,,,2.0,6.0,5.0,,
1735802100,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Quarterfinals,Ended,1.0,Constant Lestienne,Valentin Vacherot,6.0,4.0,7.0,,,2.0,6.0,5.0,,
1735806600,"Brisbane, Australia",ATP,Hardcourt outdoor,Round of 16,Ended,1.0,Novak Djokovic,Gael Monfils,6.0,6.0,,,,3.0,3.0,,,
1735806600,"Brisbane, Australia",ATP,Hardcourt outdoor,Round of 16,Ended,1.0,Novak Djokovic,Gael Monfils,6.0,6.0,,,,3.0,3.0,,,
1735807800,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Quarterfinals,Ended,1.0,Shintaro Mochizuki,Taisei Ichikawa,6.0,6.0,,,,3.0,3.0,,,
1735807800,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Quarterfinals,Ended,1.0,Shintaro Mochizuki,Taisei Ichikawa,6.0,6.0,,,,3.0,3.0,,,
1735812000,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,1.0,Aryna Sabalenka,Yulia Putintseva,7.0,6.0,,,,6.0,4.0,,,
1735812000,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,1.0,Aryna Sabalenka,Yulia Putintseva,7.0,6.0,,,,6.0,4.0,,,
1735812000,"Brisbane, Australia",WTA,Hardcourt outdoor,Round of 16,Ended,1.0,Aryna Sabalenka,Yulia Putintseva,7.0,6.0,,,,6.0,4.0,,,
1735812300,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Enzo Couacaud,Jurij Rodionov,6.0,4.0,2.0,,,4.0,6.0,6.0,,
1735812300,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Enzo Couacaud,Jurij Rodionov,6.0,4.0,2.0,,,4.0,6.0,6.0,,
1735812300,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Quarterfinals,Ended,2.0,Enzo Couacaud,Jurij Rodionov,6.0,4.0,2.0,,,4.0,6.0,6.0,,
1735813800,Hong Kong,ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Andrey Rublev,Fábián Marozsán,5.0,6.0,3.0,,,7.0,3.0,6.0,,
1735813800,Hong Kong,ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Andrey Rublev,Fábián Marozsán,5.0,6.0,3.0,,,7.0,3.0,6.0,,
1735813800,Hong Kong,ATP,Hardcourt outdoor,Round of 16,Ended,2.0,Andrey Rublev,Fábián Marozsán,5.0,6.0,3.0,,,7.0,3.0,6.0,,
1735857000,"Auckland, New Zealand",WTA,Hardcourt outdoor,Quarterfinals,Ended,2.0,Bernarda Pera,Robin Montgomery,4.0,4.0,,,,6.0,6.0,,,
1735857000,"Auckland, New Zealand",WTA,Hardcourt outdoor,Quarterfinals,Ended,2.0,Bernarda Pera,Robin Montgomery,4.0,4.0,,,,6.0,6.0,,,
1735864200,"Auckland, New Zealand",WTA,Hardcourt outdoor,Quarterfinals,Ended,1.0,Naomi Osaka,Hailey Baptiste,6.0,6.0,6.0,,,7.0,1.0,2.0,,
1735864200,"Auckland, New Zealand",WTA,Hardcourt outdoor,Quarterfinals,Ended,1.0,Naomi Osaka,Hailey Baptiste,6.0,6.0,6.0,,,7.0,1.0,2.0,,
1735866000,"Brisbane, Australia",WTA,Hardcourt outdoor,Quarterfinals,Ended,1.0,Anhelina Kalinina,Kimberly Birrell,4.0,6.0,7.0,,,6.0,1.0,5.0,,
1735866000,"Brisbane, Australia",WTA,Hardcourt outdoor,Quarterfinals,Ended,1.0,Anhelina Kalinina,Kimberly Birrell,4.0,6.0,7.0,,,6.0,1.0,5.0,,
1735871400,"Brisbane, Australia",ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Nicolas Jarry,Jiri Lehecka,4.0,4.0,,,,6.0,6.0,,,
1735871400,"Brisbane, Australia",ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Nicolas Jarry,Jiri Lehecka,4.0,4.0,,,,6.0,6.0,,,
1735873800,"Canberra, Australia",Challenger,Hardcourt outdoor,Semifinals,Ended,2.0,Jacob Fearnley,Joao Fonseca,3.0,3.0,,,,6.0,6.0,,,
1735873800,"Canberra, Australia",Challenger,Hardcourt outdoor,Semifinals,Ended,2.0,Jacob Fearnley,Joao Fonseca,3.0,3.0,,,,6.0,6.0,,,
1735876800,"Brisbane, Australia",WTA,Hardcourt outdoor,Quarterfinals,Ended,2.0,Ons Jabeur,Mirra Andreeva,4.0,6.0,,,,6.0,7.0,,,
1735876800,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Semifinals,Ended,2.0,Rei Sakamoto,Gregoire Barrere,4.0,6.0,6.0,,,6.0,3.0,7.0,,
1735876800,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Semifinals,Ended,2.0,Rei Sakamoto,Gregoire Barrere,4.0,6.0,6.0,,,6.0,3.0,7.0,,
1735876800,"Brisbane, Australia",WTA,Hardcourt outdoor,Quarterfinals,Ended,2.0,Ons Jabeur,Mirra Andreeva,4.0,6.0,,,,6.0,7.0,,,
1735879200,"Canberra, Australia",Challenger,Hardcourt outdoor,Semifinals,Ended,2.0,Martin Landaluce,Ethan Quinn,3.0,3.0,,,,6.0,6.0,,,
1735879200,"Canberra, Australia",Challenger,Hardcourt outdoor,Semifinals,Ended,2.0,Martin Landaluce,Ethan Quinn,3.0,3.0,,,,6.0,6.0,,,
1735880400,Hong Kong,ATP,Hardcourt outdoor,Quarterfinals,Ended,1.0,Alexandre Muller,Arthur Fils,3.0,6.0,6.0,,,6.0,3.0,1.0,,
1735880400,"Brisbane, Australia",WTA,Hardcourt outdoor,Quarterfinals,Ended,2.0,Ashlyn Krueger,Polina Kudermetova,6.0,3.0,,,,7.0,6.0,,,
1735880400,"Brisbane, Australia",WTA,Hardcourt outdoor,Quarterfinals,Ended,2.0,Ashlyn Krueger,Polina Kudermetova,6.0,3.0,,,,7.0,6.0,,,
1735880400,Hong Kong,ATP,Hardcourt outdoor,Quarterfinals,Ended,1.0,Alexandre Muller,Arthur Fils,3.0,6.0,6.0,,,6.0,3.0,1.0,,
1735883100,"Brisbane, Australia",ATP,Hardcourt outdoor,Quarterfinals,Retired,2.0,Jordan Thompson,Grigor Dimitrov,1.0,1.0,,,,6.0,2.0,,,
1735883100,"Brisbane, Australia",ATP,Hardcourt outdoor,Quarterfinals,Retired,2.0,Jordan Thompson,Grigor Dimitrov,1.0,1.0,,,,6.0,2.0,,,
1735886400,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Semifinals,Ended,1.0,Aslan Karatsev,Kimmer Coppejans,6.0,6.0,,,,3.0,1.0,,,
1735886400,"Nonthaburi, Thailand",Challenger,Hardcourt outdoor,Semifinals,Ended,1.0,Aslan Karatsev,Kimmer Coppejans,6.0,6.0,,,,3.0,1.0,,,
1735886400,"Brisbane, Australia",ATP,Hardcourt outdoor,Quarterfinals,Ended,1.0,Giovanni Mpetshi Perricard,Jakub Mensik,7.0,7.0,,,,5.0,6.0,,,
1735886400,"Brisbane, Australia",ATP,Hardcourt outdoor,Quarterfinals,Ended,1.0,Giovanni Mpetshi Perricard,Jakub Mensik,7.0,7.0,,,,5.0,6.0,,,
1735888200,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Semifinals,Ended,2.0,Constant Lestienne,Moerani Bouzige,7.0,3.0,4.0,,,6.0,6.0,6.0,,
1735888200,Hong Kong,ATP,Hardcourt outdoor,Quarterfinals,Ended,1.0,Jaume Munar,Lorenzo Musetti,2.0,7.0,7.0,,,6.0,6.0,5.0,,
1735888200,Hong Kong,ATP,Hardcourt outdoor,Quarterfinals,Ended,1.0,Jaume Munar,Lorenzo Musetti,2.0,7.0,7.0,,,6.0,6.0,5.0,,
1735888200,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Semifinals,Ended,2.0,Constant Lestienne,Moerani Bouzige,7.0,3.0,4.0,,,6.0,6.0,6.0,,
1735893000,"Brisbane, Australia",WTA,Hardcourt outdoor,Quarterfinals,Ended,1.0,Aryna Sabalenka,Marie Bouzkova,6.0,6.0,,,,3.0,4.0,,,
1735893000,"Brisbane, Australia",WTA,Hardcourt outdoor,Quarterfinals,Ended,1.0,Aryna Sabalenka,Marie Bouzkova,6.0,6.0,,,,3.0,4.0,,,
1735898700,Hong Kong,ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Fábián Marozsán,Juncheng Shang,6.0,3.0,4.0,,,1.0,6.0,6.0,,
1735898700,Hong Kong,ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Fábián Marozsán,Juncheng Shang,6.0,3.0,4.0,,,1.0,6.0,6.0,,
1735898700,Hong Kong,ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Fábián Marozsán,Juncheng Shang,6.0,3.0,4.0,,,1.0,6.0,6.0,,
1735900200,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Semifinals,Ended,2.0,Jurij Rodionov,Shintaro Mochizuki,3.0,3.0,,,,6.0,6.0,,,
1735900200,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Semifinals,Ended,2.0,Jurij Rodionov,Shintaro Mochizuki,3.0,3.0,,,,6.0,6.0,,,
1735900200,"Noumea, New Caledonia",Challenger,Hardcourt outdoor,Semifinals,Ended,2.0,Jurij Rodionov,Shintaro Mochizuki,3.0,3.0,,,,6.0,6.0,,,
1735900500,"Brisbane, Australia",ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Novak Djokovic,Reilly Opelka,6.0,3.0,,,,7.0,6.0,,,
1735900500,"Brisbane, Australia",ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Novak Djokovic,Reilly Opelka,6.0,3.0,,,,7.0,6.0,,,
1735900500,"Brisbane, Australia",ATP,Hardcourt outdoor,Quarterfinals,Ended,2.0,Novak Djokovic,Reilly Opelka,6.0,3.0,,,,7.0,6.0,,,
1735906200,Hong Kong,ATP,Hardcourt outdoor,Quarterfinals,Ended,1.0,Kei Nishikori,Cameron Norrie,6.0,3.0,6.0,,,3.0,6.0,2.0,,
